finding_id,category,severity,action_required,spatial_unit_ids,party_ids,description,status
QA-0035,duplicate_claim,high,True,P0280,SYN-HH-0309;SYN-HH-0310,"Spatial unit P0280 has 2 competing claims (STR-0389, STR-0390) from different households -- needs adjudication.",open
QA-0036,duplicate_claim,high,True,P0356,SYN-HH-0386;SYN-HH-0387,"Spatial unit P0356 has 2 competing claims (STR-0424, STR-0425) from different households -- needs adjudication.",open
QA-0037,duplicate_claim,high,True,P0367,SYN-HH-0398;SYN-HH-0399,"Spatial unit P0367 has 2 competing claims (STR-0366, STR-0367) from different households -- needs adjudication.",open
QA-0038,duplicate_claim,high,True,P0372,SYN-HH-0404;SYN-HH-0405,"Spatial unit P0372 has 2 competing claims (STR-0394, STR-0395) from different households -- needs adjudication.",open
QA-0039,duplicate_claim,high,True,P0384,SYN-HH-0417;SYN-HH-0418,"Spatial unit P0384 has 2 competing claims (STR-0337, STR-0338) from different households -- needs adjudication.",open
QA-0040,duplicate_claim,high,True,P0402,SYN-HH-0436;SYN-HH-0437,"Spatial unit P0402 has 2 competing claims (STR-0264, STR-0265) from different households -- needs adjudication.",open
QA-0041,duplicate_claim,high,True,P0403,SYN-HH-0438;SYN-HH-0439,"Spatial unit P0403 has 2 competing claims (STR-0290, STR-0291) from different households -- needs adjudication.",open
QA-0042,duplicate_claim,high,True,P0416,SYN-HH-0452;SYN-HH-0453,"Spatial unit P0416 has 2 competing claims (STR-0320, STR-0321) from different households -- needs adjudication.",open
QA-0043,low_confidence_confirmation,low,False,P0148,,"Parcel P0148's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.890 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0044,low_confidence_confirmation,low,False,P0032,,"Parcel P0032's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.896 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0045,low_confidence_confirmation,low,False,P0034,,"Parcel P0034's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.898 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0046,low_confidence_confirmation,low,False,P0040,,"Parcel P0040's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.897 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0047,low_confidence_confirmation,low,False,P0002,,"Parcel P0002's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.895 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0048,low_confidence_confirmation,low,False,P0141,,"Parcel P0141's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.895 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0049,low_confidence_confirmation,low,False,P0033,,"Parcel P0033's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.895 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0050,low_confidence_confirmation,low,False,P0043,,"Parcel P0043's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.893 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0051,low_confidence_confirmation,low,False,P0132,,"Parcel P0132's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.899 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0052,low_confidence_confirmation,low,False,P0045,,"Parcel P0045's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.894 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0053,low_confidence_confirmation,low,False,P0130,,"Parcel P0130's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.890 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0054,low_confidence_confirmation,low,False,P0024,,"Parcel P0024's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.897 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0055,low_confidence_confirmation,low,False,P0181,,"Parcel P0181's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.898 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0056,low_confidence_confirmation,low,False,P0030,,"Parcel P0030's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.896 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0057,low_confidence_confirmation,low,False,P0010,,"Parcel P0010's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.899 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0058,low_confidence_confirmation,low,False,P0176,,"Parcel P0176's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.898 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0059,low_confidence_confirmation,low,False,P0050,,"Parcel P0050's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.891 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0060,low_confidence_confirmation,low,False,P0056,,"Parcel P0056's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.899 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0061,low_confidence_confirmation,low,False,P0115,,"Parcel P0115's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.897 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0062,low_confidence_confirmation,low,False,P0118,,"Parcel P0118's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.887 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0063,low_confidence_confirmation,low,False,P0062,,"Parcel P0062's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.897 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0064,low_confidence_confirmation,low,False,P0076,,"Parcel P0076's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.895 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0065,low_confidence_confirmation,low,False,P0065,,"Parcel P0065's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.896 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0066,low_confidence_confirmation,low,False,P0164,,"Parcel P0164's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.896 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0067,low_confidence_confirmation,low,False,P0111,,"Parcel P0111's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.897 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0068,low_confidence_confirmation,low,False,P0063,,"Parcel P0063's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.899 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0069,low_confidence_confirmation,low,False,P0073,,"Parcel P0073's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.899 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0070,low_confidence_confirmation,low,False,P0188,,"Parcel P0188's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.894 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0071,low_confidence_confirmation,low,False,P0070,,"Parcel P0070's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.895 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0072,low_confidence_confirmation,low,False,P0191,,"Parcel P0191's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.899 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0073,low_confidence_confirmation,low,False,P0192,,"Parcel P0192's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.894 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0074,low_confidence_confirmation,low,False,P0190,,"Parcel P0190's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.897 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0075,low_confidence_confirmation,low,False,P0217,,"Parcel P0217's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.899 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0076,low_confidence_confirmation,low,False,P0085,,"Parcel P0085's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.899 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0077,low_confidence_confirmation,low,False,P0078,,"Parcel P0078's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.894 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0078,low_confidence_confirmation,low,False,P0090,,"Parcel P0090's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.892 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0079,low_confidence_confirmation,low,False,P0212,,"Parcel P0212's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.899 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0080,low_confidence_confirmation,low,False,P0083,,"Parcel P0083's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.892 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0081,low_confidence_confirmation,low,False,P0197,,"Parcel P0197's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.897 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0082,low_confidence_confirmation,low,False,P0209,,"Parcel P0209's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.897 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0083,low_confidence_confirmation,low,False,P0099,,"Parcel P0099's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.899 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0084,low_confidence_confirmation,low,False,P0094,,"Parcel P0094's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.893 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0085,low_confidence_confirmation,low,False,P0088,,"Parcel P0088's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.893 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0086,low_confidence_confirmation,low,False,P0080,,"Parcel P0080's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.896 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0087,low_confidence_confirmation,low,False,P0389,,"Parcel P0389's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.897 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0088,low_confidence_confirmation,low,False,P0396,,"Parcel P0396's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.897 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0089,low_confidence_confirmation,low,False,P0259,,"Parcel P0259's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.894 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0090,low_confidence_confirmation,low,False,P0387,,"Parcel P0387's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.899 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0091,low_confidence_confirmation,low,False,P0253,,"Parcel P0253's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.890 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0092,low_confidence_confirmation,low,False,P0381,,"Parcel P0381's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.893 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0093,low_confidence_confirmation,low,False,P0243,,"Parcel P0243's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.896 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0094,low_confidence_confirmation,low,False,P0252,,"Parcel P0252's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.893 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0095,low_confidence_confirmation,low,False,P0242,,"Parcel P0242's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.891 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0096,low_confidence_confirmation,low,False,P0407,,"Parcel P0407's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.897 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0097,low_confidence_confirmation,low,False,P0415,,"Parcel P0415's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.898 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0098,low_confidence_confirmation,low,False,P0411,,"Parcel P0411's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.894 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0099,low_confidence_confirmation,low,False,P0260,,"Parcel P0260's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.892 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0100,low_confidence_confirmation,low,False,P0240,,"Parcel P0240's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.891 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0101,low_confidence_confirmation,low,False,P0414,,"Parcel P0414's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.893 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0102,low_confidence_confirmation,low,False,P0368,,"Parcel P0368's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.897 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0103,low_confidence_confirmation,low,False,P0365,,"Parcel P0365's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.892 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0104,low_confidence_confirmation,low,False,P0371,,"Parcel P0371's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.897 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0105,low_confidence_confirmation,low,False,P0345,,"Parcel P0345's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.899 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0106,low_confidence_confirmation,low,False,P0362,,"Parcel P0362's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.896 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0107,low_confidence_confirmation,low,False,P0281,,"Parcel P0281's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.896 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0108,low_confidence_confirmation,low,False,P0372,,"Parcel P0372's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.895 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0109,low_confidence_confirmation,low,False,P0287,,"Parcel P0287's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.891 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0110,low_confidence_confirmation,low,False,P0352,,"Parcel P0352's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.895 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0111,low_confidence_confirmation,low,False,P0308,,"Parcel P0308's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.895 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0112,low_confidence_confirmation,low,False,P0296,,"Parcel P0296's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.898 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0113,low_confidence_confirmation,low,False,P0299,,"Parcel P0299's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.898 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0114,low_confidence_confirmation,low,False,P0300,,"Parcel P0300's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.895 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0115,low_confidence_confirmation,low,False,P0356,,"Parcel P0356's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.893 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0116,low_confidence_confirmation,low,False,P0349,,"Parcel P0349's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.895 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0117,low_confidence_confirmation,low,False,P0301,,"Parcel P0301's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.898 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0118,low_confidence_confirmation,low,False,P0333,,"Parcel P0333's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.894 -- recommended for random quality-assurance spot-check, not a known error.",open
QA-0119,low_confidence_confirmation,low,False,P0360,,"Parcel P0360's AI draft boundary was confirmed as-is in the field, but the model's confidence was only 0.895 -- recommended for random quality-assurance spot-check, not a known error.",open
